소재지,운동기구1,운동기구2,운동기구3,운동기구4,운동기구5,운동기구6,운동기구7,운동기구8,운동기구9,운동기구10,운동기구11,운동기구12,관리부서
충청남도 천안시 입장면 동계리길 18,허리돌리기+공중걷기,어깨유연성운동+달리기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 검바위길 87-13,허리돌리기+공중걷기,큰활차+달리기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 도장골1길 24,허리돌리기+공중걷기,큰활차+달리기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 기로리 354-8,공중걷기+마라톤운동,파도타기,온몸역기내리기+올리기,다리뻗치기,어깨근육풀기,,,,,,,,체육진흥과
충청남도 천안시 입장면 유리 89-2,공중걷기,입식허리돌리기,좌우로몸통흔들기,큰팔돌리기,어깨팔늘리기,,,,,,,,체육진흥과
충청남도 천안시 입장면 호계길 45-4,공중걷기+마라톤운동,노젓기+허리돌리기,어깨근육풀기+파도타기,온몸역기내리기+올리기,다리뻗치기+온몸근육풀기,,,,,,,,체육진흥과
충청남도 천안시 입장면 호당리 산50-5,공중걷기+노젓기,파도타기+오금펴기,하체근육풀기,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 가좌울1길 84,노젓기+공중걷기,등허리지압기+허리돌리기,어깨근육풀기,오금펴기+파도타기,,,,,,,,,체육진흥과
충청남도 천안시 입장면 연곡리 261-5,작은활차머신,다리펴기,노젓기,역기올리기,자유철봉,,,,,,,,체육진흥과
충청남도 천안시 입장면 강당길 32,허리돌리기,어깨근육풀기,등허리지압기,하늘걷기,옆파도타기,,,,,,,,체육진흥과
