설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 장평면 미당리 443-5,허리돌리기+ 상체근육풀기,문화체육관광과,2020
충청남도 청양군 장평면 분향리 743-18,허리돌리기+ 상체근육풀기,문화체육관광과,2020
충청남도 청양군 장평면 화산리 123-1,활차머신+ 등허리지압+ 허리돌리기+ 옆파도타기,문화체육관광과,2021
충청남도 청양군 장평면 분향리 415,공중걷기+작은활차+  허리돌리기+큰활차,문화체육관광과,2022
충청남도 청양군 남양면 온암리 267,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 남양면 구룡리 75-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 남양면 백금리 60-56,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 남양면 봉암리 669-1,허리돌리기1개+ 상체근육풀기1개+ 이동식농구대1개,문화체육관광과,2014
충청남도 청양군 남양면 흥산리 505-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 남양면 온직리 282-4,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 남양면 구룡리 318-29,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 남양면 구룡리 157,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 남양면 신왕리 163-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 남양면 신왕리 716-6,역기올리기1개+ 레그프레스1개,문화체육관광과,2016
충청남도 청양군 남양면 용마리 216-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 남양면 온암리 211-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 남양면 구룡리 75-40,허리돌리기1개+ 자전거타기1개,문화체육관광과,2017
충청남도 청양군 남양면 백금리 408-2,공중걷기1개+ 허리돌리기1개,문화체육관광과,2017
충청남도 청양군 남양면 대봉리 629-3,허리돌리기1개+ 상체근육풀기1개+ 달리기유형1개,문화체육관광과,2017
충청남도 청양군 남양면 신왕리 498-7,허리돌리기1개+ 달리기유형1개,문화체육관광과,2017
충청남도 청양군 남양면 봉암리 440-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 남양면 대봉리 555-2,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 남양면 매곡리 27-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
